,대륙,국가,항목구분,연도,서비스비용(백만$)
830,유럽,체코,의료품,2012,3575.69
831,유럽,체코,의료품,2013,3440.06
832,유럽,체코,의료품,2014,3202.84
833,유럽,체코,의료품,2015,2760.2
834,유럽,체코,의료품,2016,2839.73
835,유럽,체코,의료품,2017,3104.28
836,유럽,체코,의료품,2018,3513.9
837,유럽,체코,의료품,2019,3493.55
838,유럽,체코,예방치료,1999,77.44
839,유럽,체코,예방치료,2000,56.92
840,유럽,체코,예방치료,2001,61.49
841,유럽,체코,예방치료,2002,81.98
842,유럽,체코,예방치료,2003,114.25
843,유럽,체코,예방치료,2004,153.97
844,유럽,체코,예방치료,2005,150.54
845,유럽,체코,예방치료,2006,206.28
846,유럽,체코,예방치료,2007,257.61
847,유럽,체코,예방치료,2008,398.77
848,유럽,체코,예방치료,2009,332.48
849,유럽,체코,예방치료,2010,355.24
850,유럽,체코,예방치료,2011,363.95
851,유럽,체코,예방치료,2012,299.64
852,유럽,체코,예방치료,2013,484.26
853,유럽,체코,예방치료,2014,509.83
854,유럽,체코,예방치료,2015,367.28
855,유럽,체코,예방치료,2016,415.71
856,유럽,체코,예방치료,2017,450.81
857,유럽,체코,예방치료,2018,496.41
858,유럽,체코,예방치료,2019,492.8
859,유럽,체코,정부의료체계 및 재정행정,1998,149.23
860,유럽,체코,정부의료체계 및 재정행정,1999,119.24
861,유럽,체코,정부의료체계 및 재정행정,2000,100.7
862,유럽,체코,정부의료체계 및 재정행정,2001,109.41
863,유럽,체코,정부의료체계 및 재정행정,2002,140.9
864,유럽,체코,정부의료체계 및 재정행정,2003,170.72
865,유럽,체코,정부의료체계 및 재정행정,2004,249.26
866,유럽,체코,정부의료체계 및 재정행정,2005,278.88
867,유럽,체코,정부의료체계 및 재정행정,2006,307.35
868,유럽,체코,정부의료체계 및 재정행정,2007,383.24
869,유럽,체코,정부의료체계 및 재정행정,2008,522.55
870,유럽,체코,정부의료체계 및 재정행정,2009,466.11
871,유럽,체코,정부의료체계 및 재정행정,2010,458.06
872,유럽,체코,정부의료체계 및 재정행정,2011,494.8
873,유럽,체코,정부의료체계 및 재정행정,2012,440.96
874,유럽,체코,정부의료체계 및 재정행정,2013,485.69
875,유럽,체코,정부의료체계 및 재정행정,2014,435.45
876,유럽,체코,정부의료체계 및 재정행정,2015,346.99
877,유럽,체코,정부의료체계 및 재정행정,2016,351.19
878,유럽,체코,정부의료체계 및 재정행정,2017,369.29
879,유럽,체코,정부의료체계 및 재정행정,2018,422.83
880,유럽,체코,정부의료체계 및 재정행정,2019,436.2
881,유럽,덴마크,보건 당기 지출,1998,13367.46
882,유럽,덴마크,보건 당기 지출,1999,14837.11
883,유럽,덴마크,보건 당기 지출,2000,13309.16
884,유럽,덴마크,보건 당기 지출,2001,13926.8
885,유럽,덴마크,보건 당기 지출,2002,15535.32
886,유럽,덴마크,보건 당기 지출,2003,19411.68
887,유럽,덴마크,보건 당기 지출,2004,22646.41
888,유럽,덴마크,보건 당기 지출,2005,24029.17
889,유럽,덴마크,보건 당기 지출,2006,25923.19
890,유럽,덴마크,보건 당기 지출,2007,29806.99
891,유럽,덴마크,보건 당기 지출,2008,33596.86
892,유럽,덴마크,보건 당기 지출,2009,34296.08
893,유럽,덴마크,보건 당기 지출,2010,33296.44
894,유럽,덴마크,보건 당기 지출,2011,34917.88
895,유럽,덴마크,보건 당기 지출,2012,33518.83
896,유럽,덴마크,보건 당기 지출,2013,34918.15
897,유럽,덴마크,보건 당기 지출,2014,35921.93
898,유럽,덴마크,보건 당기 지출,2015,30945.32
899,유럽,덴마크,보건 당기 지출,2016,31772.36
900,유럽,덴마크,보건 당기 지출,2017,33358.33
901,유럽,덴마크,보건 당기 지출,2018,35909.65
902,유럽,덴마크,보건 당기 지출,2019,34852.92
903,유럽,덴마크,치료 및 재활 치료,1998,7861.49
904,유럽,덴마크,치료 및 재활 치료,1999,8168.48
905,유럽,덴마크,치료 및 재활 치료,2000,7219.68
906,유럽,덴마크,치료 및 재활 치료,2001,7491.23
907,유럽,덴마크,치료 및 재활 치료,2002,8364.81
908,유럽,덴마크,치료 및 재활 치료,2003,10592.41
909,유럽,덴마크,치료 및 재활 치료,2004,12355.59
910,유럽,덴마크,치료 및 재활 치료,2005,13200.67
911,유럽,덴마크,치료 및 재활 치료,2006,14334.96
912,유럽,덴마크,치료 및 재활 치료,2007,16260.29
913,유럽,덴마크,치료 및 재활 치료,2008,18705.88
914,유럽,덴마크,치료 및 재활 치료,2009,19141.98
915,유럽,덴마크,치료 및 재활 치료,2010,18422.24
916,유럽,덴마크,치료 및 재활 치료,2011,19651.96
917,유럽,덴마크,치료 및 재활 치료,2012,18982.04
918,유럽,덴마크,치료 및 재활 치료,2013,19623.84
919,유럽,덴마크,치료 및 재활 치료,2014,20103.92
920,유럽,덴마크,치료 및 재활 치료,2015,17233.58
921,유럽,덴마크,치료 및 재활 치료,2016,17743.54
922,유럽,덴마크,치료 및 재활 치료,2017,18602.73
923,유럽,덴마크,치료 및 재활 치료,2018,19941.14
924,유럽,덴마크,치료 및 재활 치료,2019,19192.05
925,유럽,덴마크,장기 치료,1998,2222.54
926,유럽,덴마크,장기 치료,1999,3300.57
927,유럽,덴마크,장기 치료,2000,3103.22
928,유럽,덴마크,장기 치료,2001,3331.01
929,유럽,덴마크,장기 치료,2002,3650.76
930,유럽,덴마크,장기 치료,2003,4559.48
931,유럽,덴마크,장기 치료,2004,5416.36
932,유럽,덴마크,장기 치료,2005,5813.67
933,유럽,덴마크,장기 치료,2006,6158.15
934,유럽,덴마크,장기 치료,2007,7320.77
935,유럽,덴마크,장기 치료,2008,8211.76
936,유럽,덴마크,장기 치료,2009,8408.58
937,유럽,덴마크,장기 치료,2010,8153.38
938,유럽,덴마크,장기 치료,2011,8485.1
939,유럽,덴마크,장기 치료,2012,8022.63
940,유럽,덴마크,장기 치료,2013,8454.27
941,유럽,덴마크,장기 치료,2014,8788.95
942,유럽,덴마크,장기 치료,2015,7574.15
943,유럽,덴마크,장기 치료,2016,7855.72
944,유럽,덴마크,장기 치료,2017,8342.42
945,유럽,덴마크,장기 치료,2018,8997.31
946,유럽,덴마크,장기 치료,2019,8680.51
947,유럽,덴마크,보건 보조 서비스,1998,792.09
948,유럽,덴마크,보건 보조 서비스,1999,795.99
949,유럽,덴마크,보건 보조 서비스,2000,663.37
950,유럽,덴마크,보건 보조 서비스,2001,684.01
951,유럽,덴마크,보건 보조 서비스,2002,758.99
952,유럽,덴마크,보건 보조 서비스,2003,957.51
953,유럽,덴마크,보건 보조 서비스,2004,1097.33
954,유럽,덴마크,보건 보조 서비스,2005,1157.0
955,유럽,덴마크,보건 보조 서비스,2006,1246.55
956,유럽,덴마크,보건 보조 서비스,2007,1285.11
957,유럽,덴마크,보건 보조 서비스,2008,1381.96
958,유럽,덴마크,보건 보조 서비스,2009,1610.07
959,유럽,덴마크,보건 보조 서비스,2010,1596.62
960,유럽,덴마크,보건 보조 서비스,2011,1565.92
961,유럽,덴마크,보건 보조 서비스,2012,1335.58
962,유럽,덴마크,보건 보조 서비스,2013,1657.47
963,유럽,덴마크,보건 보조 서비스,2014,1636.9
964,유럽,덴마크,보건 보조 서비스,2015,1453.19
965,유럽,덴마크,보건 보조 서비스,2016,1400.59
966,유럽,덴마크,보건 보조 서비스,2017,1497.27
967,유럽,덴마크,보건 보조 서비스,2018,1616.61
968,유럽,덴마크,보건 보조 서비스,2019,1544.23
969,유럽,덴마크,의료품,1998,1893.13
970,유럽,덴마크,의료품,1999,1975.5
971,유럽,덴마크,의료품,2000,1780.07
972,유럽,덴마크,의료품,2001,1854.09
973,유럽,덴마크,의료품,2002,2122.78
974,유럽,덴마크,의료품,2003,2612.59
975,유럽,덴마크,의료품,2004,2995.33
976,유럽,덴마크,의료품,2005,3063.0
977,유럽,덴마크,의료품,2006,3350.25
978,유럽,덴마크,의료품,2007,3884.74
979,유럽,덴마크,의료품,2008,4160.0
980,유럽,덴마크,의료품,2009,3950.56
981,유럽,덴마크,의료품,2010,3945.02
982,유럽,덴마크,의료품,2011,4003.54
983,유럽,덴마크,의료품,2012,3682.38
984,유럽,덴마크,의료품,2013,3565.3
985,유럽,덴마크,의료품,2014,3713.9
986,유럽,덴마크,의료품,2015,3171.62
987,유럽,덴마크,의료품,2016,3195.84
988,유럽,덴마크,의료품,2017,3264.85
989,유럽,덴마크,의료품,2018,3591.14
990,유럽,덴마크,의료품,2019,3681.71
991,유럽,덴마크,예방치료,1998,458.81
992,유럽,덴마크,예방치료,1999,454.87
993,유럽,덴마크,예방치료,2000,415.1
994,유럽,덴마크,예방치료,2001,421.27
995,유럽,덴마크,예방치료,2002,462.66
996,유럽,덴마크,예방치료,2003,456.3
997,유럽,덴마크,예방치료,2004,520.87
998,유럽,덴마크,예방치료,2005,534.67
999,유럽,덴마크,예방치료,2006,548.74
1000,유럽,덴마크,예방치료,2007,642.65
1001,유럽,덴마크,예방치료,2008,728.24
1002,유럽,덴마크,예방치료,2009,768.28
1003,유럽,덴마크,예방치료,2010,777.94
1004,유럽,덴마크,예방치료,2011,804.1
1005,유럽,덴마크,예방치료,2012,774.78
1006,유럽,덴마크,예방치료,2013,871.35
1007,유럽,덴마크,예방치료,2014,848.48
1008,유럽,덴마크,예방치료,2015,758.25
1009,유럽,덴마크,예방치료,2016,816.94
1010,유럽,덴마크,예방치료,2017,838.48
1011,유럽,덴마크,예방치료,2018,876.58
1012,유럽,덴마크,예방치료,2019,859.07
1013,유럽,덴마크,정부의료체계 및 재정행정,1998,139.4
1014,유럽,덴마크,정부의료체계 및 재정행정,1999,141.69
1015,유럽,덴마크,정부의료체계 및 재정행정,2000,127.72
1016,유럽,덴마크,정부의료체계 및 재정행정,2001,145.19
1017,유럽,덴마크,정부의료체계 및 재정행정,2002,175.32
1018,유럽,덴마크,정부의료체계 및 재정행정,2003,233.38
1019,유럽,덴마크,정부의료체계 및 재정행정,2004,260.93
1020,유럽,덴마크,정부의료체계 및 재정행정,2005,260.17
1021,유럽,덴마크,정부의료체계 및 재정행정,2006,284.54
1022,유럽,덴마크,정부의료체계 및 재정행정,2007,413.42
1023,유럽,덴마크,정부의료체계 및 재정행정,2008,409.02
1024,유럽,덴마크,정부의료체계 및 재정행정,2009,416.6
1025,유럽,덴마크,정부의료체계 및 재정행정,2010,401.25
1026,유럽,덴마크,정부의료체계 및 재정행정,2011,407.26
1027,유럽,덴마크,정부의료체계 및 재정행정,2012,721.42
1028,유럽,덴마크,정부의료체계 및 재정행정,2013,745.91
1029,유럽,덴마크,정부의료체계 및 재정행정,2014,829.77
1030,유럽,덴마크,정부의료체계 및 재정행정,2015,754.38
1031,유럽,덴마크,정부의료체계 및 재정행정,2016,759.58
1032,유럽,덴마크,정부의료체계 및 재정행정,2017,812.58
1033,유럽,덴마크,정부의료체계 및 재정행정,2018,886.87
1034,유럽,덴마크,정부의료체계 및 재정행정,2019,895.2
1035,유럽,에스토니아,보건 당기 지출,1999,20.91
1036,유럽,에스토니아,보건 당기 지출,2000,18.8
1037,유럽,에스토니아,보건 당기 지출,2001,19.11
1038,유럽,에스토니아,보건 당기 지출,2002,22.16
1039,유럽,에스토니아,보건 당기 지출,2003,30.66
1040,유럽,에스토니아,보건 당기 지출,2004,39.76
1041,유럽,에스토니아,보건 당기 지출,2005,45.55
1042,유럽,에스토니아,보건 당기 지출,2006,51.8
1043,유럽,에스토니아,보건 당기 지출,2007,71.48
1044,유럽,에스토니아,보건 당기 지출,2008,88.87
1045,유럽,에스토니아,보건 당기 지출,2009,82.24
1046,유럽,에스토니아,보건 당기 지출,2010,78.92
1047,유럽,에스토니아,보건 당기 지출,2011,180.63
1048,유럽,에스토니아,보건 당기 지출,2012,180.48
1049,유럽,에스토니아,보건 당기 지출,2013,202.49
1050,유럽,에스토니아,보건 당기 지출,2014,218.72
1051,유럽,에스토니아,보건 당기 지출,2015,195.99
1052,유럽,에스토니아,보건 당기 지출,2016,209.51
1053,유럽,에스토니아,보건 당기 지출,2017,238.33
1054,유럽,에스토니아,보건 당기 지출,2018,274.37
1055,유럽,에스토니아,보건 당기 지출,2019,283.66
1056,유럽,에스토니아,치료 및 재활 치료,1999,13.83
1057,유럽,에스토니아,치료 및 재활 치료,2000,11.55
1058,유럽,에스토니아,치료 및 재활 치료,2001,10.64
1059,유럽,에스토니아,치료 및 재활 치료,2002,12.04
1060,유럽,에스토니아,치료 및 재활 치료,2003,16.81
1061,유럽,에스토니아,치료 및 재활 치료,2004,21.67
1062,유럽,에스토니아,치료 및 재활 치료,2005,25.91
1063,유럽,에스토니아,치료 및 재활 치료,2006,29.91
1064,유럽,에스토니아,치료 및 재활 치료,2007,41.91
1065,유럽,에스토니아,치료 및 재활 치료,2008,52.2
1066,유럽,에스토니아,치료 및 재활 치료,2009,47.42
1067,유럽,에스토니아,치료 및 재활 치료,2010,44.71
1068,유럽,에스토니아,치료 및 재활 치료,2011,102.23
1069,유럽,에스토니아,치료 및 재활 치료,2012,101.9
1070,유럽,에스토니아,치료 및 재활 치료,2013,115.84
1071,유럽,에스토니아,치료 및 재활 치료,2014,126.56
1072,유럽,에스토니아,치료 및 재활 치료,2015,113.22
1073,유럽,에스토니아,치료 및 재활 치료,2016,119.17
1074,유럽,에스토니아,치료 및 재활 치료,2017,131.82
1075,유럽,에스토니아,치료 및 재활 치료,2018,151.11
1076,유럽,에스토니아,치료 및 재활 치료,2019,155.32
1077,유럽,에스토니아,장기 치료,1999,0.0
1078,유럽,에스토니아,장기 치료,2000,0.0
1079,유럽,에스토니아,장기 치료,2001,0.17
1080,유럽,에스토니아,장기 치료,2002,0.18
1081,유럽,에스토니아,장기 치료,2003,0.36
1082,유럽,에스토니아,장기 치료,2004,0.95
1083,유럽,에스토니아,장기 치료,2005,1.43
1084,유럽,에스토니아,장기 치료,2006,2.0
1085,유럽,에스토니아,장기 치료,2007,2.8
1086,유럽,에스토니아,장기 치료,2008,3.93
1087,유럽,에스토니아,장기 치료,2009,3.91
1088,유럽,에스토니아,장기 치료,2010,3.81
1089,유럽,에스토니아,장기 치료,2011,8.38
1090,유럽,에스토니아,장기 치료,2012,8.46
1091,유럽,에스토니아,장기 치료,2013,10.14
1092,유럽,에스토니아,장기 치료,2014,11.76
1093,유럽,에스토니아,장기 치료,2015,11.14
1094,유럽,에스토니아,장기 치료,2016,12.33
1095,유럽,에스토니아,장기 치료,2017,21.97
1096,유럽,에스토니아,장기 치료,2018,25.0
1097,유럽,에스토니아,장기 치료,2019,26.69
1098,유럽,에스토니아,보건 보조 서비스,1999,0.61
1099,유럽,에스토니아,보건 보조 서비스,2000,1.41
1100,유럽,에스토니아,보건 보조 서비스,2001,1.77
1101,유럽,에스토니아,보건 보조 서비스,2002,2.05
1102,유럽,에스토니아,보건 보조 서비스,2003,2.81
1103,유럽,에스토니아,보건 보조 서비스,2004,3.49
1104,유럽,에스토니아,보건 보조 서비스,2005,3.58
1105,유럽,에스토니아,보건 보조 서비스,2006,4.33
1106,유럽,에스토니아,보건 보조 서비스,2007,6.47
1107,유럽,에스토니아,보건 보조 서비스,2008,8.33
1108,유럽,에스토니아,보건 보조 서비스,2009,7.82
1109,유럽,에스토니아,보건 보조 서비스,2010,7.45
1110,유럽,에스토니아,보건 보조 서비스,2011,18.25
1111,유럽,에스토니아,보건 보조 서비스,2012,18.31
1112,유럽,에스토니아,보건 보조 서비스,2013,20.82
1113,유럽,에스토니아,보건 보조 서비스,2014,22.46
1114,유럽,에스토니아,보건 보조 서비스,2015,21.1
1115,유럽,에스토니아,보건 보조 서비스,2016,23.03
1116,유럽,에스토니아,보건 보조 서비스,2017,26.21
1117,유럽,에스토니아,보건 보조 서비스,2018,30.54
1118,유럽,에스토니아,보건 보조 서비스,2019,32.83
1119,유럽,에스토니아,의료품,1999,4.56
1120,유럽,에스토니아,의료품,2000,4.83
1121,유럽,에스토니아,의료품,2001,5.38
1122,유럽,에스토니아,의료품,2002,6.5
1123,유럽,에스토니아,의료품,2003,8.73
1124,유럽,에스토니아,의료품,2004,11.35
1125,유럽,에스토니아,의료품,2005,12.08
1126,유럽,에스토니아,의료품,2006,12.75
1127,유럽,에스토니아,의료품,2007,16.54
1128,유럽,에스토니아,의료품,2008,19.46
1129,유럽,에스토니아,의료품,2009,18.65
1130,유럽,에스토니아,의료품,2010,18.46
1131,유럽,에스토니아,의료품,2011,41.34
1132,유럽,에스토니아,의료품,2012,41.8
1133,유럽,에스토니아,의료품,2013,45.73
1134,유럽,에스토니아,의료품,2014,46.7
1135,유럽,에스토니아,의료품,2015,40.86
1136,유럽,에스토니아,의료품,2016,45.17
1137,유럽,에스토니아,의료품,2017,47.73
1138,유럽,에스토니아,의료품,2018,54.59
1139,유럽,에스토니아,의료품,2019,54.27
1140,유럽,에스토니아,예방치료,1999,1.16
1141,유럽,에스토니아,예방치료,2000,0.35
1142,유럽,에스토니아,예방치료,2001,0.34
1143,유럽,에스토니아,예방치료,2002,0.36
1144,유럽,에스토니아,예방치료,2003,0.65
1145,유럽,에스토니아,예방치료,2004,0.87
1146,유럽,에스토니아,예방치료,2005,1.03
1147,유럽,에스토니아,예방치료,2006,1.36
1148,유럽,에스토니아,예방치료,2007,1.92
1149,유럽,에스토니아,예방치료,2008,2.99
1150,유럽,에스토니아,예방치료,2009,2.58
1151,유럽,에스토니아,예방치료,2010,2.79
1152,유럽,에스토니아,예방치료,2011,5.96
1153,유럽,에스토니아,예방치료,2012,6.39
1154,유럽,에스토니아,예방치료,2013,6.05
1155,유럽,에스토니아,예방치료,2014,6.6
1156,유럽,에스토니아,예방치료,2015,6.24
1157,유럽,에스토니아,예방치료,2016,6.69
1158,유럽,에스토니아,예방치료,2017,7.88
1159,유럽,에스토니아,예방치료,2018,9.65
1160,유럽,에스토니아,예방치료,2019,10.19
1161,유럽,에스토니아,정부의료체계 및 재정행정,1999,0.75
1162,유럽,에스토니아,정부의료체계 및 재정행정,2000,0.71
1163,유럽,에스토니아,정부의료체계 및 재정행정,2001,0.8
1164,유럽,에스토니아,정부의료체계 및 재정행정,2002,0.96
1165,유럽,에스토니아,정부의료체계 및 재정행정,2003,1.3
1166,유럽,에스토니아,정부의료체계 및 재정행정,2004,1.43
1167,유럽,에스토니아,정부의료체계 및 재정행정,2005,1.51
1168,유럽,에스토니아,정부의료체계 및 재정행정,2006,1.44
1169,유럽,에스토니아,정부의료체계 및 재정행정,2007,1.84
1170,유럽,에스토니아,정부의료체계 및 재정행정,2008,1.96
1171,유럽,에스토니아,정부의료체계 및 재정행정,2009,1.78
1172,유럽,에스토니아,정부의료체계 및 재정행정,2010,1.78
1173,유럽,에스토니아,정부의료체계 및 재정행정,2011,4.28
1174,유럽,에스토니아,정부의료체계 및 재정행정,2012,3.8
1175,유럽,에스토니아,정부의료체계 및 재정행정,2013,3.91
1176,유럽,에스토니아,정부의료체계 및 재정행정,2014,4.46
1177,유럽,에스토니아,정부의료체계 및 재정행정,2015,3.42
1178,유럽,에스토니아,정부의료체계 및 재정행정,2016,2.97
1179,유럽,에스토니아,정부의료체계 및 재정행정,2017,2.73
1180,유럽,에스토니아,정부의료체계 및 재정행정,2018,3.48
1181,유럽,에스토니아,정부의료체계 및 재정행정,2019,4.35
1182,유럽,핀란드,보건 당기 지출,1998,1538.2
1183,유럽,핀란드,보건 당기 지출,1999,1236.1
1184,유럽,핀란드,보건 당기 지출,2000,1197.65
1185,유럽,핀란드,보건 당기 지출,2001,1260.46
1186,유럽,핀란드,보건 당기 지출,2002,1433.67
1187,유럽,핀란드,보건 당기 지출,2003,1827.92
1188,유럽,핀란드,보건 당기 지출,2004,2136.06
1189,유럽,핀란드,보건 당기 지출,2005,2274.83
1190,유럽,핀란드,보건 당기 지출,2006,2407.23
1191,유럽,핀란드,보건 당기 지출,2007,2779.78
1192,유럽,핀란드,보건 당기 지출,2008,3178.04
1193,유럽,핀란드,보건 당기 지출,2009,3106.34
1194,유럽,핀란드,보건 당기 지출,2010,3060.5
1195,유럽,핀란드,보건 당기 지출,2011,3400.56
1196,유럽,핀란드,보건 당기 지출,2012,3328.32
1197,유럽,핀란드,보건 당기 지출,2013,3564.77
1198,유럽,핀란드,보건 당기 지출,2014,3607.31
1199,유럽,핀란드,보건 당기 지출,2015,3029.57
1200,유럽,핀란드,보건 당기 지출,2016,3031.05
1201,유럽,핀란드,보건 당기 지출,2017,3129.39
1202,유럽,핀란드,보건 당기 지출,2018,3341.3
1203,유럽,핀란드,보건 당기 지출,2019,3299.25
1204,유럽,핀란드,치료 및 재활 치료,1998,871.16
1205,유럽,핀란드,치료 및 재활 치료,1999,698.71
1206,유럽,핀란드,치료 및 재활 치료,2000,654.08
1207,유럽,핀란드,치료 및 재활 치료,2001,689.54
1208,유럽,핀란드,치료 및 재활 치료,2002,786.46
1209,유럽,핀란드,치료 및 재활 치료,2003,1000.91
1210,유럽,핀란드,치료 및 재활 치료,2004,1165.11
1211,유럽,핀란드,치료 및 재활 치료,2005,1241.5
1212,유럽,핀란드,치료 및 재활 치료,2006,1324.87
1213,유럽,핀란드,치료 및 재활 치료,2007,1512.87
1214,유럽,핀란드,치료 및 재활 치료,2008,1741.37
1215,유럽,핀란드,치료 및 재활 치료,2009,1709.51
1216,유럽,핀란드,치료 및 재활 치료,2010,1706.23
1217,유럽,핀란드,치료 및 재활 치료,2011,1903.91
1218,유럽,핀란드,치료 및 재활 치료,2012,1867.36
1219,유럽,핀란드,치료 및 재활 치료,2013,2034.16
1220,유럽,핀란드,치료 및 재활 치료,2014,2067.91
1221,유럽,핀란드,치료 및 재활 치료,2015,1799.55
1222,유럽,핀란드,치료 및 재활 치료,2016,1787.07
1223,유럽,핀란드,치료 및 재활 치료,2017,1868.79
1224,유럽,핀란드,치료 및 재활 치료,2018,2009.34
1225,유럽,핀란드,치료 및 재활 치료,2019,1986.51
1226,유럽,핀란드,장기 치료,1998,225.28
1227,유럽,핀란드,장기 치료,1999,173.93
1228,유럽,핀란드,장기 치료,2000,225.99
1229,유럽,핀란드,장기 치료,2001,234.13
1230,유럽,핀란드,장기 치료,2002,262.78
1231,유럽,핀란드,장기 치료,2003,337.94
1232,유럽,핀란드,장기 치료,2004,399.33
1233,유럽,핀란드,장기 치료,2005,422.5
1234,유럽,핀란드,장기 치료,2006,469.41
1235,유럽,핀란드,장기 치료,2007,559.19
1236,유럽,핀란드,장기 치료,2008,641.76
1237,유럽,핀란드,장기 치료,2009,645.71
1238,유럽,핀란드,장기 치료,2010,632.92
1239,유럽,핀란드,장기 치료,2011,721.04
1240,유럽,핀란드,장기 치료,2012,713.3
1241,유럽,핀란드,장기 치료,2013,736.48
1242,유럽,핀란드,장기 치료,2014,736.01
1243,유럽,핀란드,장기 치료,2015,551.11
1244,유럽,핀란드,장기 치료,2016,553.05
1245,유럽,핀란드,장기 치료,2017,554.7
1246,유럽,핀란드,장기 치료,2018,574.84
1247,유럽,핀란드,장기 치료,2019,573.01
1248,유럽,핀란드,보건 보조 서비스,1998,43.07
1249,유럽,핀란드,보건 보조 서비스,1999,33.52
1250,유럽,핀란드,보건 보조 서비스,2000,32.55
1251,유럽,핀란드,보건 보조 서비스,2001,32.57
1252,유럽,핀란드,보건 보조 서비스,2002,36.33
1253,유럽,핀란드,보건 보조 서비스,2003,46.13
1254,유럽,핀란드,보건 보조 서비스,2004,53.76
1255,유럽,핀란드,보건 보조 서비스,2005,59.0
1256,유럽,핀란드,보건 보조 서비스,2006,65.55
1257,유럽,핀란드,보건 보조 서비스,2007,76.47
1258,유럽,핀란드,보건 보조 서비스,2008,88.82
1259,유럽,핀란드,보건 보조 서비스,2009,89.93
1260,유럽,핀란드,보건 보조 서비스,2010,91.28
1261,유럽,핀란드,보건 보조 서비스,2011,106.33
1262,유럽,핀란드,보건 보조 서비스,2012,106.74
1263,유럽,핀란드,보건 보조 서비스,2013,113.52
1264,유럽,핀란드,보건 보조 서비스,2014,117.65
1265,유럽,핀란드,보건 보조 서비스,2015,96.73
1266,유럽,핀란드,보건 보조 서비스,2016,92.42
1267,유럽,핀란드,보건 보조 서비스,2017,96.52
1268,유럽,핀란드,보건 보조 서비스,2018,103.01
1269,유럽,핀란드,보건 보조 서비스,2019,98.95
1270,유럽,핀란드,의료품,1998,273.22
1271,유럽,핀란드,의료품,1999,231.66
1272,유럽,핀란드,의료품,2000,213.24
1273,유럽,핀란드,의료품,2001,229.81
1274,유럽,핀란드,의료품,2002,263.29
1275,유럽,핀란드,의료품,2003,333.54
1276,유럽,핀란드,의료품,2004,390.82
1277,유럽,핀란드,의료품,2005,417.17
1278,유럽,핀란드,의료품,2006,404.71
1279,유럽,핀란드,의료품,2007,465.81
1280,유럽,핀란드,의료품,2008,523.53
1281,유럽,핀란드,의료품,2009,496.27
1282,유럽,핀란드,의료품,2010,474.38
1283,유럽,핀란드,의료품,2011,504.47
1284,유럽,핀란드,의료품,2012,477.89
1285,유럽,핀란드,의료품,2013,504.98
1286,유럽,핀란드,의료품,2014,504.99
1287,유럽,핀란드,의료품,2015,434.32
1288,유럽,핀란드,의료품,2016,447.4
1289,유럽,핀란드,의료품,2017,454.7
1290,유럽,핀란드,의료품,2018,489.87
1291,유럽,핀란드,의료품,2019,478.41
1292,유럽,핀란드,예방치료,1998,73.78
1293,유럽,핀란드,예방치료,1999,59.89
1294,유럽,핀란드,예방치료,2000,38.86
1295,유럽,핀란드,예방치료,2001,40.75
1296,유럽,핀란드,예방치료,2002,47.22
1297,유럽,핀란드,예방치료,2003,61.61
1298,유럽,핀란드,예방치료,2004,72.62
1299,유럽,핀란드,예방치료,2005,79.33
1300,유럽,핀란드,예방치료,2006,82.86
1301,유럽,핀란드,예방치료,2007,102.39
1302,유럽,핀란드,예방치료,2008,112.16
1303,유럽,핀란드,예방치료,2009,103.54
1304,유럽,핀란드,예방치료,2010,98.93
1305,유럽,핀란드,예방치료,2011,107.64
1306,유럽,핀란드,예방치료,2012,107.43
1307,유럽,핀란드,예방치료,2013,115.12
1308,유럽,핀란드,예방치료,2014,118.0
1309,유럽,핀란드,예방치료,2015,117.68
1310,유럽,핀란드,예방치료,2016,120.65
1311,유럽,핀란드,예방치료,2017,123.94
1312,유럽,핀란드,예방치료,2018,132.91
1313,유럽,핀란드,예방치료,2019,130.13
1314,유럽,핀란드,정부의료체계 및 재정행정,1998,51.87
1315,유럽,핀란드,정부의료체계 및 재정행정,1999,38.11
1316,유럽,핀란드,정부의료체계 및 재정행정,2000,32.3
1317,유럽,핀란드,정부의료체계 및 재정행정,2001,32.93
1318,유럽,핀란드,정부의료체계 및 재정행정,2002,37.09
1319,유럽,핀란드,정부의료체계 및 재정행정,2003,47.19
1320,유럽,핀란드,정부의료체계 및 재정행정,2004,53.42
1321,유럽,핀란드,정부의료체계 및 재정행정,2005,53.0
1322,유럽,핀란드,정부의료체계 및 재정행정,2006,58.32
1323,유럽,핀란드,정부의료체계 및 재정행정,2007,61.03
1324,유럽,핀란드,정부의료체계 및 재정행정,2008,68.63
1325,유럽,핀란드,정부의료체계 및 재정행정,2009,59.14
1326,유럽,핀란드,정부의료체계 및 재정행정,2010,54.45
1327,유럽,핀란드,정부의료체계 및 재정행정,2011,54.93
1328,유럽,핀란드,정부의료체계 및 재정행정,2012,52.68
1329,유럽,핀란드,정부의료체계 및 재정행정,2013,57.65
1330,유럽,핀란드,정부의료체계 및 재정행정,2014,59.71
1331,유럽,핀란드,정부의료체계 및 재정행정,2015,26.89
1332,유럽,핀란드,정부의료체계 및 재정행정,2016,27.19
1333,유럽,핀란드,정부의료체계 및 재정행정,2017,27.73
1334,유럽,핀란드,정부의료체계 및 재정행정,2018,29.75
1335,유럽,핀란드,정부의료체계 및 재정행정,2019,27.74
1336,유럽,프랑스,보건 당기 지출,1998,22131.36
